customer_id,name,password,email,address,phone_number,card_number
C000000,"Piya Kapoor",#2LEOurv,PiyaKapoor@example.com,"38/076
Bora Zila, Fatehpur 402119",3817548954,1044621811276795
C000001,"Riya Savant",+4eNhljn,RiyaSavant@example.com,"39/788, Bose Marg
Navi Mumbai 644861",9233407056,68906300795841
C000002,"Divyansh Dixit",$h0KZAml,DivyanshDixit@example.com,"H.No. 58, Devan Marg, Muzaffarpur-625980",3815003291,9270263183208272
C000003,"Alia Behl",&g64(Iv%,AliaBehl@example.com,"779
Ghose Road, Dibrugarh 304857",4483246874,6876530064218504
C000004,"Devansh Sahni",$2ZFvvcv,DevanshSahni@example.com,"H.No. 895
Agarwal Ganj
Vasai-Virar 422434",2731403882,529498476496634
C000005,"Ishita Bajwa",KG*8@_Ua,IshitaBajwa@example.com,"04/716, Upadhyay
Gurgaon-156727",1703463778,1504050396277583
C000006,"Suhana Char",_HPR6Xfm,SuhanaChar@example.com,"690
Goel Zila
Pimpri-Chinchwad 709969",0892313371,3499981971506309
C000007,"Vivaan Kadakia",*vW4ZuEB,VivaanKadakia@example.com,"H.No. 149
Sekhon, Rajpur Sonarpur 465420",9922845213,4904947082393643
C000008,"Vaibhav Ghose",&G#01Ng4,VaibhavGhose@example.com,"H.No. 876, Mall Chowk
Uluberia 402426",9021193638,8332981842867394
C000009,"Shanaya Yogi",o!3Hg7Vy,ShanayaYogi@example.com,"68/780, Sunder Street
Bathinda-521241",1792225057,8385749836326025
C000010,"Tejas Bera",A%#)6RiP,TejasBera@example.com,"20/689
Taneja Marg, Anantapuram 862620",5146927473,1390235840670280
C000011,"Inaaya  Bhatia",gRH_x8Qw,InaayaBhatia@example.com,"H.No. 96
Upadhyay Ganj, Muzaffarnagar-252584",9876489568,5054006256930769
C000012,"Vihaan Acharya",#50Wq(R$,VihaanAcharya@example.com,"920, Madan Chowk, Naihati-691027",9966178981,1730496407253551
C000013,"Renee Gopal",h+(*G4Uo,ReneeGopal@example.com,"48/186
Butala Street, Bhatpara-466887",9668361240,9950259632165720
C000014,"Heer Iyengar",i1#1ZtEs,HeerIyengar@example.com,"H.No. 77, Devi Road
Bahraich-256852",9077684390,3221922106002635
C000015,"Saira Thakkar",&6$b2DJg,SairaThakkar@example.com,"H.No. 52
Handa Path
Dewas-683223",5380623475,7730930594671330
C000016,"Shanaya Sura",m6&$4Bty,ShanayaSura@example.com,"27, Deol
Fatehpur 300059",6709556695,6215656520570093
C000017,"Shalv Bansal",Y#6AjeLo,ShalvBansal@example.com,"340
Gandhi Street
Unnao 885072",5169254188,8617428965068674
C000018,"Ritvik Ganguly",k&I9yQjg,RitvikGanguly@example.com,"H.No. 93
Dua Street, Jhansi 156266",5523628368,5797765234485278
C000019,"Mishti Soman",Rc&64O3p,MishtiSoman@example.com,"H.No. 84
Lata Road, Bharatpur 048946",6918358130,3166819685519086
C000020,"Manjari Bhakta",+#)^3Php,ManjariBhakta@example.com,"641, Kale Ganj
Rajpur Sonarpur 837493",2145131300,5447412183931436
C000021,"Mannat Suri",&x9Hodv6,MannatSuri@example.com,"82/337
Lala Circle, Belgaum 607688",3980099115,1525274128589695
C000022,"Kismat Saxena",+599iMVu,KismatSaxena@example.com,"24, Gulati Circle
Ahmedabad 055105",8647056690,9222269784741148
C000023,"Stuvan Iyer",_3!yPv1X,StuvanIyer@example.com,"40/72
Goyal Road
Vadodara 192741",2367770642,7257034000949544
C000024,"Aaryahi Rajagopalan",Tl)Y9JEl,AaryahiRajagopalan@example.com,"419
Choudhary Street, Tadipatri 381750",7061914709,2046939541848077
C000025,"Abram De",W@5SdDj7,AbramDe@example.com,"51/225
De, Darbhanga-541792",7158707233,2360571229615465
C000026,"Mishti Mammen",t!4LCom@,MishtiMammen@example.com,"69/996
Date Street, Sasaram-436902",3990426639,4556876476370064
C000027,"Indrans Agate",^1rN(jMD,IndransAgate@example.com,"88/09, Mann Path, Latur 842325",8119122684,5410146457204930
C000028,"Jivika Lalla",&)#64GSh,JivikaLalla@example.com,"863, Bhasin Road
Ongole 356775",0555522261,1196617085473733
C000029,"Zoya Bassi",%FK%2RZx,ZoyaBassi@example.com,"H.No. 43
Grover Circle
Saharanpur-318276",1060001085,5962971188953865
C000030,"Mohanlal Chokshi",#me5WZFo,MohanlalChokshi@example.com,"468, Ramachandran Marg
Chapra-103770",1746010901,803580174494736
C000031,"Hazel Sunder",vu&9Lwm6,HazelSunder@example.com,"53/430, Sodhi Marg
Bhopal-306441",2043964756,4008492559588063
C000032,"Sana Agrawal",)7$wZ5Xw,SanaAgrawal@example.com,"88, Lad Marg
Kozhikode 498498",9569627583,339009707341579
C000033,"Onkar Mann",%@95!P4u,OnkarMann@example.com,"27/68, Mann Road, Kishanganj-212783",6340636834,5948284488624695
C000034,"Zaina Dey",s+5Bw)XK,ZainaDey@example.com,"H.No. 532, Thaman, Bokaro-608451",1100818238,6309121713166981
